@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,,96.8,,%,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-4925,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,N Dis Inorg,"Nitrogen, Dissolved Inorganic : as N",4925,,0.122,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-9853,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,Nitrate Filt,"Nitrate, Filtered as N",9853,,0.078,,mg/l,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1940595-3976,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE02,AN-BE02,R.BLACKWATER SE OF WEST MERSEA,2019-08-08T14:17:00,Turbdty in-s,Turbidity : In Situ,3976,,12.7,,ftu,SEA WATER,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),604000,211000
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-3361,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,PClBenzeneWW,Pentachlorobenzene : Wet Wt,3361,<,0.1,,ug/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-8650,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,Ag - wet wt,Silver : Wet Wt,8650,<,17.3,,ug/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-3412,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,PBDE 154 WW,"2,2,4,4,5,6 Hexabromodiphenyl Ether: Wet Wt",3412,,0.013000000000000001,,ug/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-0329,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,Pb - Dry Wt,Lead : Dry Wt,329,,0.99,,mg/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-0357,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,As - DWt,Arsenic : Dry Wt,357,,17.3,,mg/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-0747,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,Ind123pyrWWt,"Indeno(1,2,3-cd)pyrene : Wet Wt",747,<,0.5,,ug/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
http://environment.data.gov.uk/water-quality/data/measurement/AN-1928986-0376,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BE0235,AN-BE0235,WEST MERSEA BEACH OPPOSITE FAIRHAVEN AVE,2019-02-14T15:00:00,Cr - Dry Wt,Chromium : Dry Wt,376,,0.99,,mg/kg,MYTILUS EDULIS - MUSSEL - WHOLE ANIMAL,False,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),602270,212030
